證券代號,投標開始日,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率
4767,2018-10-08,86129.0,0.033,-0.024,0.003,0.057,0.5
4768,2022-03-22,72670.0,0.184,0.311,0.065,0.176,0.5
4770,2021-12-02,472238.0,1.078,0.777,0.008,0.267,0.75
4771,2024-02-26,219201.0,0.279,-0.319,0.184,0.131,0.25
4772,2024-08-30,76408.0,0.183,0.143,0.188,0.114,0.75
4807,2017-06-06,147221.0,-0.28,0.173,0.587,0.125,0.25
4923,2022-02-21,105012.0,0.607,0.016,0.842,0.062,1.0
4931,2019-08-27,142399.0,0.245,-0.382,0.224,0.149,0.5
4943,2016-10-24,312548.0,0.39,0.031,0.848,0.215,1.0
4949,2024-04-18,256038.0,-0.498,0.014,0.865,0.194,0.75
4951,2022-10-14,34527.0,-0.26,0.002,0.814,0.166,0.25
4961,2018-09-26,837969.0,0.388,0.04,0.262,0.018,0.25
4967,2018-12-22,577699.0,-0.176,-0.049,0.394,0.058,0.25
4989,2018-06-07,237288.0,-0.203,0.147,0.253,0.234,0.5
5220,2018-04-03,101362.0,-0.119,0.237,0.002,0.135,0.5
5222,2021-10-04,92848.0,0.12,0.77,0.011,0.181,0.25
5223,2018-06-11,106411.0,0.01,-0.22,0.505,0.268,0.5
5228,2022-04-29,57696.0,-0.071,-0.224,0.049,0.181,0.5
5236,2021-07-09,207801.0,0.357,-0.121,0.574,0.11,0.75
5244,2021-12-29,116543.0,-0.045,0.138,0.708,0.105,0.75
5258,2016-12-12,220554.0,0.154,-0.134,0.041,0.209,0.25
5283,2019-05-06,450212.0,0.108,0.009,0.234,0.16,0.75
5292,2023-11-01,295651.0,0.047,0.837,0.609,0.388,0.75
5299,2018-01-03,82055.0,0.457,-0.228,0.392,0.13,0.25
5548,2024-02-26,162763.0,0.274,-0.097,0.175,0.083,0.25
5864,2018-03-14,75380.0,2.248,6.916,0.001,0.582,0.5
5876,2018-09-28,3010105.0,0.096,-0.052,0.374,0.065,0.25
6272,2025-12-05,337285.0,0.079,-0.041,0.318,0.049,0.25
6288,2018-04-18,291370.0,0.588,-0.017,0.478,0.104,0.25
6416,2018-03-23,390327.0,0.147,0.55,0.05,0.206,0.5
6418,2019-01-18,66647.0,-0.179,-0.065,0.288,0.083,0.5
6423,2024-04-29,27790.0,0.551,1.481,0.116,0.596,0.5
6425,2018-12-27,216683.0,-0.005,0.401,0.048,0.199,0.5
6438,2017-04-05,244755.0,0.153,0.336,0.476,0.241,0.75
6441,2017-09-07,254787.0,1.401,2.076,0.761,0.706,1.0
6446,2016-06-29,386.0,-0.905,-0.506,0.391,0.71,0.5
6461,2018-03-08,1246.0,0.633,-0.318,0.002,0.181,0.5
6472,2017-03-28,24836.0,0.097,0.115,0.494,0.087,0.5
6474,2025-11-06,318177.0,-0.015,-0.042,0.0,0.061,0.5
6491,2019-09-17,282396.0,-0.056,0.002,0.481,0.063,0.5
6492,2017-03-31,0.0,10000.0,,0.0,0.0,0.0
6498,2025-05-05,100178.0,0.169,0.156,0.004,0.086,0.5
6499,2016-07-06,0.0,10000.0,,0.0,0.0,0.0
6510,2016-03-04,155920.0,0.568,-0.072,0.385,0.035,0.25
6515,2020-12-30,173428.0,-0.035,-0.169,0.779,0.158,0.25
6516,2019-04-15,21341.0,0.139,-0.432,0.269,0.323,0.25
6517,2022-11-25,57592.0,0.047,-0.053,0.542,0.16,0.5
6523,2016-05-26,75228.0,0.528,-0.204,0.168,0.309,0.25
6526,2023-09-26,1640564.0,0.104,0.398,0.328,0.168,0.75
6527,2019-12-05,61299.0,-0.153,0.063,0.006,0.099,0.75
6531,2016-05-11,180499.0,0.568,-0.075,0.288,0.24,0.25
6533,2017-02-20,22051.0,1.355,-0.202,0.001,0.172,0.5
6534,2023-12-06,52543.0,1.021,1.976,0.007,0.331,0.5
6535,2016-09-05,0.0,10000.0,,0.0,2.0,0.25
6542,2016-08-19,219516.0,0.375,-0.071,0.915,0.062,0.25
6546,2022-05-04,321160.0,0.202,-0.061,0.289,0.111,0.5
6547,2018-03-26,0.0,10000.0,,0.0,0.0,0.0
6548,2016-08-25,44864.0,0.353,0.168,0.726,0.083,1.0
6550,2022-05-16,592.0,-0.8,0.003,0.024,0.808,0.75
6556,2017-10-11,95057.0,-0.213,-0.104,0.71,0.213,0.75
6558,2018-11-15,192151.0,0.38,0.065,0.354,0.074,0.5
6560,2017-01-04,22275.0,-0.297,2.103,0.137,0.351,0.5
6561,2018-05-16,189723.0,0.103,0.045,0.0,0.045,0.5
6568,2016-12-08,75938.0,-0.186,0.137,0.494,0.221,0.5
6569,2016-12-01,91432.0,0.07,0.07,0.38,0.15,0.75
6570,2017-11-21,46541.0,0.03,0.211,0.108,0.085,0.75
6574,2017-08-15,83341.0,0.219,-0.089,0.207,0.079,0.5
6576,2018-06-08,2346.0,0.022,0.019,0.499,0.466,0.5
6577,2017-03-01,119950.0,0.025,0.019,0.158,0.07,0.75
6578,2018-08-29,57492.0,0.085,0.15,0.026,0.053,0.25
6579,2017-08-01,460067.0,-0.048,-0.118,0.006,0.044,0.25
6581,2018-01-10,220091.0,0.055,-0.057,0.365,0.372,0.5
6582,2017-05-24,352010.0,0.52,0.742,0.052,0.213,0.5
6584,2023-04-27,90316.0,-0.495,-0.234,0.013,0.153,0.5
6585,2022-04-29,259522.0,0.198,0.186,0.515,0.133,0.75
6588,2020-06-09,32778.0,0.258,0.291,0.51,0.251,0.75
6589,2019-06-10,16168.0,-0.519,-0.509,0.008,0.358,0.25
6590,2018-12-05,43296.0,0.659,0.93,0.304,0.271,0.5
6592,2019-11-19,1049257.0,0.092,0.034,0.024,0.022,0.5
6593,2017-10-16,67973.0,0.034,-0.006,0.078,0.05,0.25
6596,2017-12-14,85538.0,2.1,0.035,0.367,0.213,0.75
6597,2025-04-22,51345.0,-0.231,-0.255,0.378,0.106,0.5
6598,2020-05-20,1613.0,-0.51,-0.701,0.373,0.912,0.25
6606,2023-03-06,61790.0,0.438,0.401,0.296,0.158,0.5
6612,2018-06-28,35403.0,0.364,0.013,0.947,0.11,1.0
6613,2017-12-08,616903.0,2.714,4.062,0.251,0.648,0.5
6614,2025-11-07,391058.0,0.207,-0.397,0.002,0.24,0.25
6615,2018-01-02,37247.0,0.143,0.033,0.044,0.026,0.5
6617,2024-05-28,3530.0,3.68,0.437,0.819,0.317,0.75
6620,2025-12-08,75804.0,0.356,-0.134,0.08,0.774,0.25
6624,2019-05-08,56716.0,2.003,-0.177,0.15,0.503,0.5
6625,2018-01-18,95342.0,1.068,-0.556,0.104,0.524,0.5
6629,2019-05-17,84601.0,0.16,0.225,0.218,0.246,0.75
6637,2024-05-28,49780.0,0.056,-0.552,0.011,0.369,0.5
6640,2018-10-02,91304.0,0.086,0.054,0.53,0.045,0.75
6642,2019-09-02,31464.0,-0.113,-0.057,0.5,0.054,0.25
6643,2019-01-03,98521.0,-0.068,0.275,0.402,0.112,0.75
6645,2023-12-01,49555.0,0.821,1.029,0.096,0.249,0.5
6649,2019-05-16,141.0,3.7,-0.95,0.0,1.884,0.25
6651,2021-01-12,142151.0,0.759,0.172,0.739,0.106,0.75
6654,2018-10-02,144050.0,1.864,0.055,0.701,0.114,0.75
6655,2018-11-08,226176.0,0.195,-0.142,0.131,0.066,0.75
6657,2023-05-23,689.0,0.588,0.055,0.553,0.375,0.75
6658,2023-10-13,76153.0,-0.559,-0.424,0.415,0.179,0.5
6661,2021-01-07,36066.0,-0.216,-0.015,0.248,0.103,0.5
6662,2019-03-06,37924.0,1.868,0.611,0.466,0.263,0.5
6664,2018-08-21,148131.0,0.111,0.083,0.253,0.043,0.5
6667,2018-10-24,73611.0,0.317,-0.152,0.696,0.103,0.25
6668,2018-11-22,103568.0,0.119,0.334,0.521,0.207,0.5
6669,2019-03-07,11155782.0,0.065,-0.268,0.309,0.155,0.25
6670,2018-11-28,1676074.0,0.141,0.301,0.84,0.159,1.0
6672,2019-03-26,427890.0,-0.11,0.05,0.028,0.018,0.5
6674,2018-11-08,320057.0,-0.386,-0.26,0.817,0.148,0.0
6679,2019-04-18,108007.0,0.181,0.158,0.595,0.087,0.75
6680,2019-08-26,33588.0,0.406,0.012,0.465,0.204,0.5
6683,2019-04-01,62348.0,0.022,-0.07,0.53,0.131,0.5
6684,2021-07-22,54732.0,0.523,0.048,0.839,0.029,0.75
6689,2022-08-23,754232.0,0.044,0.101,0.005,0.051,0.75
6690,2019-10-08,79732.0,0.558,0.759,0.255,0.254,0.5
6691,2021-12-13,1338539.0,0.586,0.576,0.538,0.242,0.75
6692,2024-01-15,96317.0,-0.472,-0.16,0.886,0.251,0.0
6693,2022-02-08,121313.0,0.42,0.008,0.966,0.052,1.0
6695,2022-10-17,83667.0,-0.209,-0.018,0.705,0.151,0.25
6697,2019-12-06,65033.0,-0.326,-0.32,0.306,0.292,0.5
6698,2019-11-05,68323.0,0.171,0.302,0.209,0.19,0.5
6703,2020-09-25,117191.0,0.432,0.038,0.154,0.04,0.5
6706,2019-11-29,270760.0,-0.333,0.081,0.472,0.131,0.5
6708,2022-12-09,20886.0,0.041,-0.039,0.921,0.178,0.0
6712,2020-12-18,12859.0,1.882,1.505,0.007,0.289,0.5
6715,2019-11-22,231183.0,-0.069,0.53,0.063,0.207,0.75
6716,2020-03-09,37498.0,0.319,-0.12,0.887,0.186,0.25
6719,2021-12-23,562786.0,0.628,0.017,0.488,0.012,0.5
6720,2024-11-14,44082.0,0.347,0.053,0.209,0.043,0.75
6721,2022-04-11,219572.0,0.212,0.002,0.456,0.068,0.5
6722,2025-12-31,415598.0,-0.112,-0.007,0.126,0.041,0.5
6725,2025-12-12,359966.0,-0.07,0.284,0.046,0.127,0.5
6727,2020-11-11,80289.0,-0.433,-0.229,0.436,0.302,0.25
6728,2020-12-07,122456.0,0.242,0.147,0.093,0.091,0.5
6730,2025-11-25,37381.0,-0.041,-0.122,0.612,0.052,0.25
6732,2020-05-19,269574.0,-0.384,-0.358,0.496,0.185,0.25
6733,2021-01-08,151.0,10000.0,4.033,0.152,0.647,0.5
6735,2022-04-11,55015.0,0.089,-0.093,0.688,0.312,0.5
6739,2024-08-13,37018.0,0.263,0.095,0.433,0.043,0.75
6741,2021-05-05,72026.0,0.16,-0.107,0.636,0.103,0.25
6742,2023-11-15,48758.0,-0.612,-0.117,0.775,0.152,0.75
6743,2020-11-24,554748.0,1.235,-0.159,0.371,0.09,0.5
6751,2020-12-07,80868.0,-0.159,1.14,0.068,0.288,0.5
6752,2020-11-20,115058.0,0.128,0.242,0.608,0.109,0.75
6753,2023-02-16,294329.0,1.466,-0.499,0.012,0.341,0.5
6754,2020-08-05,290393.0,-0.457,0.094,0.048,0.062,0.75
6756,2020-12-04,179312.0,0.056,0.004,0.898,0.058,1.0
6761,2021-10-19,166048.0,0.442,0.072,0.002,0.067,0.5
6762,2020-11-30,50556.0,0.297,-0.077,0.245,0.12,0.5
6763,2022-02-22,101483.0,0.122,-0.199,0.079,0.096,0.5
6767,2021-01-05,11825.0,-0.183,0.283,0.438,0.149,0.75
6770,2021-11-16,6720797.0,0.705,0.09,0.948,0.071,1.0
6771,2024-05-02,52391.0,0.034,-0.076,0.008,0.111,0.5
6776,2021-03-11,1266629.0,-0.077,-0.074,0.733,0.066,0.25
6782,2022-11-08,249787.0,0.321,0.011,0.039,0.14,0.5
6785,2024-01-04,468472.0,584.59,inf,0.0,1.996,0.5
6788,2021-09-07,90099.0,0.771,0.058,0.014,0.11,0.75
6789,2022-06-10,949900.0,0.362,0.156,0.792,0.133,0.75
6790,2021-09-07,689395.0,-0.131,-0.109,0.682,0.07,0.5
6791,2022-10-25,44797.0,0.058,-0.133,0.063,0.056,0.5
6792,2021-11-18,144635.0,0.144,-0.028,0.501,0.04,0.25
6794,2024-05-06,1430.0,-0.742,2.075,0.316,0.917,0.5
6796,2022-05-12,28645.0,-0.187,-0.298,0.005,0.173,0.5
6799,2022-04-21,114987.0,0.447,0.038,0.291,0.042,0.75
6804,2022-03-11,243621.0,0.565,0.081,0.139,0.104,0.75
6805,2023-10-20,590533.0,0.439,0.041,0.901,0.081,1.0
6806,2021-10-26,440402.0,1.468,0.733,0.662,0.28,1.0
6811,2022-07-20,606007.0,0.455,-0.473,0.102,0.4,0.5
6821,2023-05-02,45791.0,-0.086,-0.031,0.921,0.052,0.0
6823,2022-06-10,93523.0,0.517,0.159,0.008,0.192,0.5
6829,2022-02-18,172206.0,1.371,0.109,0.939,0.125,1.0
6830,2022-08-11,156716.0,0.205,-0.035,0.723,0.107,0.75
6831,2025-11-06,308122.0,0.773,-0.084,0.718,0.113,0.25
6834,2022-08-12,75439.0,-0.346,-0.127,0.876,0.135,0.25
6835,2022-10-21,201712.0,-0.197,-0.177,0.734,0.087,0.25
6838,2024-07-22,0.0,10000.0,-1.0,0.0,1.901,0.5
6840,2023-03-06,67207.0,0.025,0.426,0.071,0.129,0.5
6841,2023-02-07,4088.0,2.395,-0.653,0.186,0.555,0.5
6843,2022-11-01,95729.0,1.094,0.057,0.621,0.084,0.75
6844,2024-02-16,291411.0,0.002,0.042,0.03,0.032,0.5
6846,2023-04-24,62069.0,0.055,-0.245,0.036,0.175,0.5
