證券代號,投標開始日,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率
8279,2016-09-05,68392.0,0.56,0.026,0.932,0.048,0.75
8284,2020-04-27,148669.0,0.173,0.045,0.085,0.068,0.5
8342,2017-11-03,88029.0,-0.538,0.103,0.097,0.057,0.75
8367,2018-08-21,130812.0,0.068,-0.033,0.748,0.073,0.25
8415,2016-08-18,880168.0,-0.068,0.121,0.046,0.049,0.75
8438,2022-02-18,355047.0,0.221,0.057,0.015,0.078,0.75
8440,2018-03-08,47348.0,0.086,-0.27,0.001,0.12,0.75
8473,2016-08-19,221994.0,1.179,0.438,0.223,0.162,0.5
8478,2017-11-21,538178.0,27.564,4.08,0.342,0.639,0.75
8487,2024-03-11,73547.0,-0.518,0.15,0.152,0.091,0.75
8489,2017-04-07,68965.0,-0.001,0.342,0.141,0.138,0.5
1341,2018-12-05,250848.0,0.12,,,,
2243,2017-09-07,193360.0,3.69,,,,
2250,2021-05-11,291706.0,0.26,,,,
2762,2024-01-04,803513.0,0.1,,,,
4148,2017-05-18,216104.0,0.09,,,,
4439,2019-11-15,452045.0,-0.04,,,,
4552,2016-06-30,716269.0,0.06,,,,
4569,2023-07-11,97862.0,-0.19,,,,
4571,2019-08-27,123374.0,-0.09,,,,
4581,2020-02-17,62787.0,-0.08,,,,
4590,2026-01-14,,,,,,
4945,2020-11-02,,,,,,
5546,2020-04-29,556154.0,0.04,,,,
5547,2026-01-19,,,,,,
6497,2017-05-10,,,,,,
6554,2016-11-22,,,,,,
6573,2017-09-06,174369.0,0.09,,,,
6616,2017-12-20,72767.0,0.17,,,,
6641,2018-09-03,174123.0,0.21,,,,
6671,2018-11-21,185484.0,-0.02,,,,
6747,2020-12-29,,,,,,
6768,2021-03-31,1320386.0,0.02,,,,
6781,2021-03-02,975517.0,2.24,,,,
6807,2022-04-01,371619.0,-0.05,,,,
6862,2024-10-02,206118.0,0.33,,,,
6863,2023-03-01,160919.0,0.05,,,,
6887,2025-02-17,347776.0,0.78,,,,
6933,2023-10-19,477798.0,-0.21,,,,
6934,2026-01-16,41.0,-0.882,-0.996,0.094,1.569,0.25
6957,2024-06-04,289690.0,0.0,,,,
6962,2024-11-06,1915980.0,-0.11,,,,
6988,2024-10-07,73257.0,-0.105,,,,
7749,2025-05-28,114311.0,1.2,,,,
7792,2026-01-13,,,,,,
7823,2026-01-21,,,,,,
8466,2016-10-12,256021.0,-0.09,,,,
8480,2016-12-27,,,,,,
8482,2018-07-26,416926.0,0.09,,,,
8488,2016-11-23,372579.0,1.03,,,,
8497,2018-03-05,,,,,,
8499,2017-11-06,118594.0,-0.04,,,,
