證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,首日收盤溢價率,首日最高溢價率,首日最低溢價率,最低得標加價率,加權平均加價率
6843,2022-11-01,2022-11-21,1643379,70364599,40.5,45.45,40.5,45.3,10.3,1225,0.241,0.245,0.109,0.156,0.21
6844,2024-02-16,2024-03-08,838704,170140867,210.0,210.0,192.5,198.0,28.0,920,0.021,0.083,-0.007,0.402,0.437
6846,2023-04-24,2023-05-15,754041,72898644,96.5,99.4,94.8,94.8,26.8,627,0.033,0.083,0.033,0.601,0.633
6855,2022-09-16,2022-10-06,754421,68362836,91.0,91.3,89.1,90.0,14.0,476,0.046,0.062,0.036,0.259,0.301
6856,2023-10-05,2023-10-27,1317249,92497075,68.5,72.0,67.2,72.0,7.0,746,0.071,0.071,-0.0,0.135,0.231
6859,2022-11-08,2022-11-28,1212699,146973984,116.0,133.0,110.0,132.0,30.0,1036,0.277,0.287,0.065,0.118,0.216
6861,2023-03-07,2023-03-27,1399729,175077720,120.0,129.0,120.0,128.0,0.0,1340,0.037,0.045,-0.028,1.021,1.064
6862,2024-10-02,2024-10-23,2580016,687543061,260.0,284.0,258.5,259.0,0.0,1890,0.339,0.468,0.336,0.704,0.792
6863,2023-03-01,2023-03-21,3978987,778653589,200.0,207.0,185.5,202.0,0.0,2925,0.516,0.554,0.392,0.627,0.721
6865,2022-12-21,2023-01-11,448722,38055943,84.6,88.7,81.3,82.5,24.5,416,0.021,0.098,0.006,0.643,0.672
6870,2023-08-25,2023-09-14,656935,98881468,148.0,157.0,143.5,148.5,20.5,707,-0.018,0.038,-0.051,0.44,0.512
6872,2025-02-14,2025-03-07,2284882,70747417,32.45,32.45,30.0,30.45,7.05,1655,0.091,0.163,0.075,0.444,0.551
6874,2022-11-24,2022-12-14,1386332,72192788,52.3,53.7,50.6,51.7,6.8,1019,0.152,0.197,0.127,0.075,0.122
6875,2024-03-06,2024-03-26,3113855,293419359,96.8,97.0,91.6,92.0,27.0,2518,0.026,0.082,0.022,0.569,0.655
6877,2023-05-29,2023-06-16,1550799,67642796,43.0,45.3,42.55,43.3,21.3,1062,0.122,0.174,0.102,0.899,0.93
6881,2024-04-30,2024-05-21,262921,61835087,229.0,249.5,224.0,241.0,76.0,364,0.235,0.279,0.148,0.502,0.502
6884,2025-12-02,2025-12-17,635696,28471203,44.0,46.95,41.55,44.75,11.75,562,0.02,0.07,-0.053,0.387,0.463
6885,2024-11-26,2024-12-16,3752122,119011397,31.9,32.8,30.55,31.0,0.0,2035,-0.041,0.015,-0.054,0.005,0.071
